HIP,Sampled,Predicted,Prob
62661,10.0,8.0,0.8
113789,10.0,8.0,0.8
61743,10.0,8.0,0.8
85749,10.0,8.0,0.8
6456,10.0,8.0,0.8
96813,10.0,8.0,0.8
82738,10.0,8.0,0.8
20848,10.0,8.0,0.8
8525,10.0,8.0,0.8
8486,10.0,8.0,0.8
95098,10.0,8.0,0.8
21172,10.0,8.0,0.8
88790,10.0,8.0,0.8
96536,10.0,8.0,0.8
12754,10.0,8.0,0.8
77641,10.0,8.0,0.8
79578,10.0,8.0,0.8
50319,10.0,8.0,0.8
103144,10.0,8.0,0.8
49841,10.0,8.0,0.8
55427,10.0,8.0,0.8
80343,10.0,8.0,0.8
8587,10.0,8.0,0.8
81952,10.0,8.0,0.8
98921,10.0,8.0,0.8
80686,10.0,8.0,0.8
80736,10.0,8.0,0.8
6498,10.0,8.0,0.8
114328,10.0,8.0,0.8
14614,10.0,8.0,0.8
100269,9.0,7.0,0.7777777777777778
14475,9.0,7.0,0.7777777777777778
13908,9.0,7.0,0.7777777777777778
52888,9.0,7.0,0.7777777777777778
52667,9.0,7.0,0.7777777777777778
56948,9.0,7.0,0.7777777777777778
83181,9.0,7.0,0.7777777777777778
19793,9.0,7.0,0.7777777777777778
19849,9.0,7.0,0.7777777777777778
105312,9.0,7.0,0.7777777777777778
57477,9.0,7.0,0.7777777777777778
105502,9.0,7.0,0.7777777777777778
20130,9.0,7.0,0.7777777777777778
19736,9.0,7.0,0.7777777777777778
27244,9.0,7.0,0.7777777777777778
44915,9.0,7.0,0.7777777777777778
27628,9.0,7.0,0.7777777777777778
45075,9.0,7.0,0.7777777777777778
107822,9.0,7.0,0.7777777777777778
106093,9.0,7.0,0.7777777777777778
38657,9.0,7.0,0.7777777777777778
27075,9.0,7.0,0.7777777777777778
52197,9.0,7.0,0.7777777777777778
107528,9.0,7.0,0.7777777777777778
8548,9.0,7.0,0.7777777777777778
116085,9.0,7.0,0.7777777777777778
86985,9.0,7.0,0.7777777777777778
87116,9.0,7.0,0.7777777777777778
1076,9.0,7.0,0.7777777777777778
14705,9.0,7.0,0.7777777777777778
115951,9.0,7.0,0.7777777777777778
61123,9.0,7.0,0.7777777777777778
94083,9.0,7.0,0.7777777777777778
39271,9.0,7.0,0.7777777777777778
39088,9.0,7.0,0.7777777777777778
96100,9.0,7.0,0.7777777777777778
25475,9.0,7.0,0.7777777777777778
95149,9.0,7.0,0.7777777777777778
88942,9.0,7.0,0.7777777777777778
103077,9.0,7.0,0.7777777777777778
12766,9.0,7.0,0.7777777777777778
6197,9.0,7.0,0.7777777777777778
11000,9.0,7.0,0.7777777777777778
20899,9.0,7.0,0.7777777777777778
42173,9.0,7.0,0.7777777777777778
48351,9.0,7.0,0.7777777777777778
9400,9.0,7.0,0.7777777777777778
68682,9.0,7.0,0.7777777777777778
77749,9.0,7.0,0.7777777777777778
65639,9.0,7.0,0.7777777777777778
36512,9.0,7.0,0.7777777777777778
60096,9.0,7.0,0.7777777777777778
61662,9.0,7.0,0.7777777777777778
90313,9.0,7.0,0.7777777777777778
44463,9.0,7.0,0.7777777777777778
34065,9.0,7.0,0.7777777777777778
59525,9.0,7.0,0.7777777777777778
23213,9.0,7.0,0.7777777777777778
85340,9.0,7.0,0.7777777777777778
97219,9.0,7.0,0.7777777777777778
55459,9.0,7.0,0.7777777777777778
49756,9.0,7.0,0.7777777777777778
23575,9.0,7.0,0.7777777777777778
14857,9.0,7.0,0.7777777777777778
97779,9.0,7.0,0.7777777777777778
30225,9.0,7.0,0.7777777777777778
65429,9.0,7.0,0.7777777777777778
44668,9.0,7.0,0.7777777777777778
116937,9.0,7.0,0.7777777777777778
54104,9.0,7.0,0.7777777777777778
50035,8.0,6.0,0.75
22953,8.0,6.0,0.75
33690,8.0,6.0,0.75
81197,8.0,6.0,0.75
113207,8.0,6.0,0.75
15457,8.0,6.0,0.75
68586,8.0,6.0,0.75
41022,8.0,6.0,0.75
6714,8.0,6.0,0.75
19038,8.0,6.0,0.75
32742,7.0,5.0,0.7142857142857143
114742,7.0,5.0,0.7142857142857143
118162,10.0,7.0,0.7
52990,10.0,7.0,0.7
116838,10.0,7.0,0.7
118143,10.0,7.0,0.7
116422,10.0,7.0,0.7
116763,10.0,7.0,0.7
118008,10.0,7.0,0.7
99661,10.0,7.0,0.7
99243,10.0,7.0,0.7
98621,10.0,7.0,0.7
99913,10.0,7.0,0.7
3203,10.0,7.0,0.7
81421,10.0,7.0,0.7
34747,10.0,7.0,0.7
3119,10.0,7.0,0.7
114924,10.0,7.0,0.7
348,10.0,7.0,0.7
22339,10.0,7.0,0.7
22576,10.0,7.0,0.7
100541,10.0,7.0,0.7
3559,10.0,7.0,0.7
117877,10.0,7.0,0.7
114914,10.0,7.0,0.7
34085,10.0,7.0,0.7
33817,10.0,7.0,0.7
44657,10.0,7.0,0.7
83138,10.0,7.0,0.7
12125,10.0,7.0,0.7
12158,10.0,7.0,0.7
59642,10.0,7.0,0.7
44279,10.0,7.0,0.7
59646,10.0,7.0,0.7
49039,10.0,7.0,0.7
23475,10.0,7.0,0.7
98819,10.0,7.0,0.7
81693,10.0,7.0,0.7
101101,10.0,7.0,0.7
2902,10.0,7.0,0.7
