HIP,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk,Exo,Multi,discoverymethod,MaxPMass,StarMass
96948,0.1,-1.76,0.03,-0.03,0.02,0.23,0.15,0.1,0.12,0.25,0.12,0.04,0.14,0.03,0.13,0.1,0.33,16.635,-34.682,1.065,thin ,0.0,0.0,None,0.0,0.0
96950,-0.14,,0.08,0.55,0.39,0.05,-0.07,-0.02,-0.06,0.41,0.03,0.07,-0.17,0.1,0.5,-0.17,0.36,22.537,-46.975,-15.062,thin ,0.0,0.0,None,0.0,0.0
96979,0.26,,,,0.4,0.42,0.46,0.27,0.35,1.2,0.37,0.29,0.3,0.18,0.58,0.3,0.55,26.148,-54.353,8.888,thin ,0.0,0.0,None,0.0,0.0
96982,-0.27,,-0.37,-0.23,-0.22,-0.16,-0.34,-0.26,-0.17,-0.14,-0.24,-0.17,-0.19,-0.48,-0.23,-0.26,,141.506,-294.051,352.513,N/A ,0.0,0.0,None,0.0,0.0
97012,0.04,,,,-0.03,0.17,0.07,0.05,0.16,0.54,0.18,0.03,0.07,-0.13,0.13,0.01,0.31,35.747,-74.078,43.63,thin ,0.0,0.0,None,0.0,0.0
97023,-0.33,-0.99,-0.15,-0.12,-0.38,-0.24,-0.38,-0.26,-0.3,0.08,-0.31,-0.46,-0.4,-0.6,-0.24,-0.4,0.11,17.003,-35.206,17.898,thin ,0.0,0.0,None,0.0,0.0
97030,-0.26,,-0.34,,-0.36,-0.16,-0.33,-0.22,-0.26,,-0.2,-0.3,-0.3,,-0.3,-0.29,,17.634,-36.48,-7.641,thin ,0.0,0.0,None,0.0,0.0
97033,0.06,,0.09,0.13,0.16,0.11,0.02,0.04,0.1,0.38,0.1,0.08,0.1,-0.02,0.16,0.1,0.29,10.562,-21.839,38.848,thin ,0.0,0.0,None,0.0,0.0
97070,-0.18,-2.02,-0.41,-0.19,-0.21,-0.15,-0.17,-0.16,-0.16,-0.11,-0.18,-0.23,-0.25,-0.35,-0.12,-0.23,-0.1,19.419,-39.967,68.536,thin ,0.0,0.0,None,0.0,0.0
97071,0.01,,-0.16,0.18,-0.2,-0.02,-0.46,-0.06,0.03,,0.07,0.01,-0.08,-0.31,,-0.17,0.12,33.747,-69.453,88.606,N/A ,0.0,0.0,None,0.0,0.0
97077,0.1,-2.68,-0.29,-0.03,0.2,0.16,0.14,0.15,0.12,0.1,0.06,-0.06,0.12,-0.02,0.12,0.03,0.18,43.341,-89.144,47.857,thin ,0.0,0.0,None,0.0,0.0
97094,-0.52,,-0.47,-0.22,-0.67,-0.44,-0.62,-0.41,-0.52,-0.36,-0.56,-0.49,-0.57,-0.88,-0.45,-0.56,,129.503,-265.685,349.549,thin ,0.0,0.0,None,0.0,0.0
