HIP,EXO,Multi,discoverymethod
,3,5,Radial Velocity
,3,5,Radial Velocity
,3,5,Radial Velocity
,3,5,Radial Velocity
,3,5,Radial Velocity
HIP 85523,1,1,Radial Velocity
HIP 85647,2,4,Radial Velocity
HIP 85647,2,4,Radial Velocity
HIP 85647,2,4,Radial Velocity
HIP 85647,2,4,Radial Velocity
HIP 85647,2,4,Radial Velocity
HIP 85647,2,4,Radial Velocity
HIP 85647,2,4,Radial Velocity
HIP 85647,2,4,Radial Velocity
HIP 85647,2,4,Radial Velocity
HIP 85647,2,4,Radial Velocity
HIP 85647,2,4,Radial Velocity
HIP 85647,2,4,Radial Velocity
HIP 85647,2,4,Radial Velocity
HIP 86057,2,1,Radial Velocity
HIP 86214,1,2,Radial Velocity
HIP 86214,1,2,Radial Velocity
HIP 86087,1,1,Radial Velocity
HIP 86162,1,2,Radial Velocity
HIP 86162,1,2,Radial Velocity
HIP 86162,1,2,Radial Velocity
HIP 86162,1,2,Radial Velocity
HIP 86162,1,2,Radial Velocity
HIP 91128,2,1,Radial Velocity
HIP 91608,1,1,Radial Velocity
HIP 93101,1,1,Radial Velocity
HIP 102401,1,2,Transit
HIP 102401,1,2,Transit
HIP 102401,1,2,Radial Velocity
HIP 106440,1,1,Radial Velocity
HIP 106440,1,1,Radial Velocity
HIP 106440,1,1,Radial Velocity
HIP 106440,1,1,Radial Velocity
HIP 106440,1,1,Radial Velocity
HIP 109388,1,2,Radial Velocity
HIP 109388,1,2,Radial Velocity
HIP 109388,1,2,Radial Velocity
HIP 109388,1,2,Radial Velocity
HIP 109388,1,2,Radial Velocity
HIP 109388,1,2,Radial Velocity
HIP 109388,1,2,Radial Velocity
HIP 109388,1,2,Radial Velocity
HIP 109388,1,2,Radial Velocity
HIP 109388,1,2,Radial Velocity
HIP 10138,2,1,Radial Velocity
HIP 10138,2,1,Radial Velocity
HIP 10138,2,1,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 113020,1,4,Radial Velocity
HIP 114046,1,2,Radial Velocity
HIP 114046,1,2,Radial Velocity
HIP 116132 A,2,1,Astrometry
HIP 116384,3,1,Imaging
,1,1,Radial Velocity
,1,1,Radial Velocity
HIP 60093,1,1,Radial Velocity
HIP 11048,1,1,Radial Velocity
HIP 99699,1,1,Radial Velocity
HIP 103768,1,1,Radial Velocity
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
HIP 115752,1,3,Transit
,1,1,Transit
,1,1,Transit
,1,1,Imaging
,1,1,Imaging
,1,1,Imaging
,1,1,Imaging
,1,1,Imaging
,1,1,Imaging
,1,1,Imaging
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Microlensing
,1,1,Microlensing
,1,1,Microlensing
,1,1,Microlensing
,1,1,Microlensing
,1,1,Microlensing
,1,1,Microlensing
HIP 49189,1,1,Radial Velocity
HIP 4872,2,1,Radial Velocity
HIP 86287,1,1,Radial Velocity
HIP 86287,1,1,Radial Velocity
HIP 86287,1,1,Radial Velocity
,1,1,Transit
,1,1,Transit
,1,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Transit
HIP 97657,1,2,Radial Velocity
HIP 97657,1,2,Radial Velocity
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,3,1,Transit
,3,1,Transit
,3,1,Transit
,3,1,Transit
,3,1,Transit
,3,1,Transit
,3,1,Transit
,3,1,Transit
,3,1,Transit
,3,1,Transit
,3,1,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
