HIP_num,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk
HIP 14792 ,-0.43,,-0.22,-0.02,-0.39,-0.06,-0.2,-0.25,-0.23,-0.23,-0.23,-0.37,-0.43,-0.68,-0.22,-0.41,-0.44,69.317,76.325,18.161,N/A 
HIP 80331 ,0,-3.15,-0.38,-0.14,0.02,0.03,-0.02,0.02,0.04,0.02,-0.07,-0.08,-0.02,-0.2,-0.03,-0.07,-0.04,-5.287,-11.875,23.955,thin 
HIP 80337 ,0.07,-1.27,0.12,0.04,-0.05,0.05,0,0.01,0.15,0.11,0.12,0.04,0.06,-0.12,0.07,0,0.22,-4.06,-9.122,-8.141,thin 
HIP 47570 ,0.08,-2.7,-0.18,-0.15,0.24,-0.01,0.14,0.15,0.08,0.05,0.05,-0.06,0.05,0.03,0.11,0.04,0.11,-68.437,47.033,69.084,thin 
HIP 113108 ,-0.2,,-0.3,-0.03,-0.26,-0.19,-0.29,-0.14,-0.13,-0.04,-0.21,-0.1,-0.16,-0.41,-0.18,-0.19,,31.331,-9.231,230.507,thin 
HIP 80343 ,-0.07,-3.08,-0.12,-0.06,0.07,0.15,0.04,0.07,-0.06,-0.2,-0.08,-0.14,-0.07,-0.13,-0.03,-0.05,0.13,-21.757,-48.926,-19.528,thin 
HIP 113113 ,-0.1,,,-0.13,-0.35,-0.12,-0.19,-0.14,-0.12,-0.05,-0.17,-0.26,-0.15,-0.29,-0.09,-0.18,-0.26,22.381,-6.591,-50.221,thin 
HIP 14810 ,0.31,-2.4,0.29,0.14,0.31,0.26,0.27,0.3,0.26,0.51,0.28,0.3,0.29,0.24,0.51,0.37,0.16,31.401,34.641,18.039,thin 
2MASS 19120194+4628248 ,0.06,,-0.05,-0.08,-0.16,0.04,-0.02,0.03,0.08,,0.06,0.07,0.05,-0.13,,0.06,0.08,82.123,-252.628,279.669,N/A 
HIP 113116 ,-0.04,,-0.2,-0.05,-0.1,0.04,-0.11,0.1,-0.1,0.08,-0.1,0,-0.12,-0.25,0.01,0.02,,10.564,-3.108,111.236,thin 
HIP 14817 ,-0.03,-3.21,-0.32,-0.21,0.19,0.08,0.14,0.21,0.05,-0.09,-0.08,-0.11,0.04,-0.12,0,-0.03,-0.07,51.919,57.304,63.996,thin 
HIP 80355 ,0.15,,,,0.04,0.27,0.1,0.16,0.26,0.67,0.27,0.24,0.25,-0.01,0.42,0.1,0.53,-29.237,-65.835,-31.322,thin 
HIP 47588 ,-0.45,-2.24,-0.01,0.12,-0.34,-0.18,-0.31,-0.22,-0.28,-0.1,-0.26,-0.27,-0.42,-0.82,-0.18,-0.4,-0.44,-63.98,43.889,-10.587,thick 
HIP 113125 ,-0.33,,-0.01,0.05,-0.18,0.06,-0.14,-0.12,-0.08,0.01,-0.11,-0.06,-0.15,-0.4,-0.08,-0.13,,31.526,-9.261,152.522,N/A 
HIP 47592 ,0,-0.76,0.04,0.06,-0.05,0.08,-0.16,-0.01,0.02,0.15,0,-0.09,-0.04,-0.18,0.06,-0.05,0.08,-11.268,7.727,-6.059,thin 
HIP 80364 ,-0.53,,,,-0.55,-0.52,-0.58,-0.5,-0.33,-0.36,-0.46,-0.39,-0.47,-0.7,-0.35,-0.43,,-10.128,-22.826,36.107,thin 
HD 106191 ,-0.25,,0.31,0.19,-0.1,-0.11,-0.3,-0.28,-0.07,0.03,-0.26,-0.15,-0.26,,-0.05,-0.26,0.43,-135.349,-7.798,-36.917,N/A 
HIP 80366 ,-0.26,,-0.3,-0.27,-0.38,-0.28,-0.32,-0.18,-0.22,,-0.21,-0.23,-0.33,-0.52,,-0.32,-0.34,-8.407,-18.956,-5.033,thin 
HIP 113137 ,0.27,-1.35,0.35,0.17,0.3,0.25,0.28,0.25,0.27,0.42,0.27,0.23,0.21,0.24,0.42,0.28,0.25,8.733,-2.56,-25.104,thin 
2MASS 19132276+4901189 ,0.04,,0.04,0.1,-0.12,-0.04,-0.16,0,0.05,,0.02,0.1,0.02,-0.08,,0,0.07,99.775,-300.902,364.963,N/A 
2MASS 06412666-4813149 ,-1.92,-0.97,,,,-1.65,,-1.84,-1.58,,-1.51,,-1.79,-2.49,-1.74,-2,,-22.26,121.75,-138.528,N/A 
HIP 14838 ,0.16,-2.59,-0.11,-0.01,0.25,0.24,0.31,0.24,0.19,0.08,0.1,0.09,0.23,0.14,0.16,0.17,0.09,31.101,34.429,16.637,thin 
HIP 113144 ,0.05,,-0.2,-0.14,-0.14,-0.05,-0.03,-0.18,0.02,,0,-0.04,-0.01,0.01,,0.08,0.13,92.204,-26.994,69.76,thin 
HIP 113148 ,0.4,,,,0.3,0.37,0.34,0.35,0.16,,0.26,,0.14,,,0.28,,38.062,-11.138,-11.576,thin 
HIP 80382 ,0.39,,0.37,0.39,0.41,0.38,0.34,0.42,0.32,,0.37,0.31,0.36,,0.36,0.44,,-3.903,-8.814,-99.308,thin 
2MASS 19243810+4045009 ,0.43,,0.76,0.75,0.71,0.35,0.4,0.39,0.43,,0.36,0.36,0.39,0.36,,0.51,0.22,212.138,-548.095,506.414,N/A 
